artist_key,canonical_name,normalized_name,aliases,country_signals,genre_signals,source_ids,confidence_score,confidence_tier,inclusion_reasons,notes
365b824b-c3a7-4760-b708-4164426a79f2,Jorge Medina Leal,jorge medina leal,Jorge Medina Leal,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q62995685""}]",2,medium,mexico_signal,
8519cdd5-28ef-4e2b-a7a8-9e5bc74693a7,Mary Jiménez,mary jimenez,Mary Jiménez,Mexico,ranchera,"[{""source"": ""wikidata"", ""id"": ""Q27942450""}]",3,medium,mexico_signal|regional_genre_signal,
7cff90ad-8a78-4020-af04-f7ff8ef7cf40,Luciano Luna Diaz,luciano luna diaz,Luciano Luna Diaz,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q104808957""}]",2,medium,mexico_signal,
a6510366-9e5b-4fac-9578-73f0dbac8fb2,Carla Garcia,carla garcia,Carla Garcia,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q104868463""}]",2,medium,mexico_signal,
c5562fca-24d5-4b1f-8c9a-8d7fa7b69676,Ignacio Morales,ignacio morales,Ignacio Morales,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q104872393""}]",2,medium,mexico_signal,
2829855c-ee22-4015-abd9-eb77115699c2,Walterio Pesqueira,walterio pesqueira,Walterio Pesqueira,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q105047759""}]",2,medium,mexico_signal,
24b08004-2d12-4596-be06-e65a491793fb,Margarita Bauche,margarita bauche,Margarita Bauche,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q105100622""}]",2,medium,mexico_signal,
83892ce6-b4f2-4366-a50e-916527e1237d,Hugo Rosales,hugo rosales,Hugo Rosales,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q105636336""}]",2,medium,mexico_signal,
20fb89fa-561a-40c0-aa17-32181ffa0cec,Hari Sama,hari sama,Hari Sama,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q105728839""}]",2,medium,mexico_signal,
686163a5-7e92-4588-8a84-2505b653bdd4,Jessica Díaz,jessica diaz,Jessica Díaz,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q64666094""}]",2,medium,mexico_signal,
55e3b06a-d27b-4dd1-9e59-0b092798405b,Mayita Campos,mayita campos,Mayita Campos,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q105812086""}]",2,medium,mexico_signal,
d112e345-53d7-4b1a-9331-d5245b6e5da2,Omar Guzmán,omar guzman,Omar Guzmán,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q105884528""}]",2,medium,mexico_signal,
96caa322-ed04-48cc-a6d4-ca301552e5e9,Manuel Delaflor,manuel delaflor,Manuel Delaflor,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q105978114""}]",2,medium,mexico_signal,
bd1a72b1-5f49-4502-95ba-61057e6f5c9a,Ricardo Tavera,ricardo tavera,Ricardo Tavera,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q64996103""}]",2,medium,mexico_signal,
5daa8fa3-b694-4657-a3fc-3d2c319a0a94,Alan Manuel Ramírez Salcido,alan manuel ramirez salcido,Alan Manuel Ramírez Salcido,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q106123358""}]",2,medium,mexico_signal,
781d0d69-4835-4323-84cc-3955a6e84aaf,Antonio Russek,antonio russek,Antonio Russek,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q106190285""}]",2,medium,mexico_signal,
